area,lon,lat,id,level,max_depth,name,parent_id,sibling_id,source,date
371000,50.7974,41.751,145424,2,1025.0,"Caspian Sea",0,180487,WDBII,2000-03-17
59600,-82.2559,44.9583,145425,2,229.0,"Lake Huron",2,180488,WDBII,2009-11-15
31722,107.7016,53.4145,145429,2,1642.0,"Lake Baikal",0,180492,WDBII,2013-10-02
31153,-120.9532,66.0093,145430,2,446.0,"Great Bear Lake",2,180493,WDBII,2012-02-02
27200,-113.7628,61.7776,145431,2,614.0,"Great Slave Lake",2,180494,WDBII,2006-08-20
29600,34.5098,-11.9643,145432,2,706.0,"Lake Malawi",1,180495,WDBII,2010-04-05
25667,-81.2358,42.1555,145433,2,64.0,"Lake Erie",2,180496,WDBII,2013-10-28
24514,-97.8114,52.6031,145434,2,36.0,"Lake Winnipeg",2,180497,WDBII,2011-11-10
19000,-77.7592,43.6671,145435,2,244.0,"Lake Ontario",2,180498,WDBII,2007-02-15
17891,31.461,60.8466,145436,2,230.0,"Lake Ladoga",0,180499,WDBII,2003-04-15
16996,75.6321,46.2842,145437,2,26.0,"Lake Balkash",0,180500,WDBII,2009-10-31
1350,14.0564,13.194,145438,2,11.0,"Lake Chad",1,180501,WDBII,2004-02-12
4380,28.4338,62.0452,145439,2,82.0,Storsaimen,0,180502,WDBII,2009-02-06
9894,35.3822,61.7853,145440,2,127.0,"Lake Onega",0,180503,WDBII,2009-08-18
8264,-85.3904,11.5322,145442,2,26.0,"Lake Nicaragua",2,180505,WDBII,2000-01-04
7850,-109.3507,59.1734,145443,2,124.0,"Lake Athabasca",2,180506,WDBII,2009-04-18
8372,-69.3648,-15.8825,145444,2,281.0,"Lake Titicaca",3,180507,WDBII,2008-03-17
6405,36.179,3.588,145445,2,109.0,"Lake Turkana",1,180508,WDBII,2011-01-17
5650,-102.3784,57.287,145446,2,219.0,"Reinsjøen",2,180509,WDBII,2013-07-22
6236,77.2663,42.4381,145447,2,668.0,"Issyk-Kul",0,6236,WDBII,2005-06-09
5650,13.2708,58.9076,145448,2,106.0,"Vänern",0,180511,WDBII,2002-02-25
82100,-87.7567,47.5367,145425,2,406.0,"Lake Superior",2,180488,WDBII,1999-08-12
58000,-86.7612,44.0135,145425,2,281.0,"Lake Michigan",2,180488,WDBII,2004-10-03
5370,-100.1435,52.5566,145451,2,12.0,"Lake Winnipegosis",2,180514,WDBII,2014-03-03
4624,-98.6423,50.9195,145455,2,7.0,"Lake Manitoba",2,180518,WDBII,2012-07-20
4848,-88.5262,49.8306,145456,2,165.0,"Lake Nipigon",2,180519,WDBII,2014-05-25
4560,102.0923,74.5772,145458,2,26.0,"Lake Taymyr",0,180521,WDBII,2013-06-08
4168,-94.7027,49.2872,145459,2,64.0,"Lake of the Woods",2,180522,WDBII,2006-10-02
1320,-100.1255,53.5496,145461,2,10.0,"Cedar Lake",2,180524,WDBII,2003-01-27
1070,25.96,62.1873,145466,2,96.0,"Päijänne",0,180529,WDBII,2006-04-27
3833,-101.403,63.111,145470,2,,"Dubawnt Lake",2,180533,WDBII,2010-11-22
3555,27.5429,58.5428,145471,2,15.0,"Lake Peipus",0,180534,WDBII,2001-04-14
3115,-71.2279,64.9084,145476,2,,"Lake Amadjuak",11,180539,WDBII,2016-11-05
68800,32.9078,-1.1007,145426,2,83.0,"Lake Victoria",1,180489,WDBII,2004-12-30
