Ward Code,NumBus,NearestTrain,Distance
95DD05,8,Ballymena Rail Station,1.95
95DD06,19,Ballymena Rail Station,1.44
95DD03,19,Ballymena Bus Station,1.86
95DD04,19,Ballymena Rail Station,1.95
95DD09,86,Ballymena Rail Station,7.03
95DD07,23,Ballymena Rail Station,5.04
95DD08,10,Ballymena Rail Station,0.88
95DD01,11,Ballymena Bus Station,1.06
95DD02,13,Ballymena Bus Station,5.02
95AA05,36,Antrim Bus Station,9.39
95AA06,17,Crumlin Rail Halt,2.48
95AA03,11,Antrim Rail Station,2.21
95DD16,101,Ballymena Rail Station,11.7
95AA04,31,Crumlin Rail Halt,7.77
95DD17,101,Ballymena Bus Station,8.89
95AA09,17,Antrim Rail Station,0.61
95DD14,23,Ballymena Bus Station,2.63
95DD15,75,Ballymena Rail Station,13.4
95AA07,34,Antrim Bus Station,11.04
95AA08,15,Antrim Rail Station,2.13
95DD18,13,Ballymena Bus Station,2.02
95DD19,47,Ballymena Bus Station,6.24
95AA01,68,Crumlin Rail Halt,5.65
95AA02,14,Antrim Bus Station,2.06
95DD12,97,Ballymena Bus Station,9.9
95DD13,8,Ballymena Rail Station,1.29
95DD10,13,Ballymena Bus Station,5.06
95NN05,15,Downpatrick Bus Station,14.05
95DD11,8,Ballymena Rail Station,2.11
95NN06,46,Newcastle Bus Station,9.31
95NN03,25,Lisburn Bus Station,13.89
95NN04,28,Downpatrick Bus Station,1.74
95NN09,35,Downpatrick Bus Station,12.13
95QQ14,107,Larne Bus Station,8.08
95NN07,30,Downpatrick Bus Station,1.16
95QQ15,14,Larne Rail Station,0.81
95NN08,34,Downpatrick Bus Station,5.79
95NN01,44,Downpatrick Bus Station,7.93
95NN02,18,Downpatrick Bus Station,1.73
95QQ12,15,Larne Rail Station,0.57
95QQ13,25,Magheramorne Rail Halt,2.45
95QQ10,93,Larne Bus Station,10.69
95QQ11,50,Glynn Rail Halt,3.62
95UU05,32,Ballymoney Rail Station,12.54
95UU06,4,Ballymoney Rail Station,23.01
95UU03,14,Portrush Rail Station,28.82
95UU04,22,Portrush Rail Station,9.03
95UU09,34,Ballymena Rail Station,22.35
95UU07,34,Portrush Rail Station,13.41
95GG38,29,Belfast - Botanic Rail Station,2.29
